'Guam USA)', 'GUM', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Marshall Islands', 'MHL', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Micronesia', 'FSM', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Northern Mariana Islands', 'MNP', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Palau', 'PLW', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Puerto Rico', 'PRI', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Turks and Caicos Islands', 'TCA', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'United States', 'USA', 'USD', '$', 'United States Dollar', '1', 'Active', 'No', 'Yes',
'USA Minor Outlying Islands', 'UMI', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Virgin Islands British)', 'VGB', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Virgin Islands USA)', 'VIR', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'Uruguay', 'URY', 'UYU', '', 'Uruguayan Peso', '21.227465', 'Active', 'No', 'No',
'Uzbekistan', 'UZB', 'UZS', '', 'Uzbekistan Som', '1909.388954', 'Active', 'No', 'No',
'Venezuela', 'VEN', 'VEF', '', 'Venezuelan Bolívar', '4.294323', 'Active', 'No', 'No',
'Vietnam', 'VNM', 'VND', '', 'Vietnamese Dong', '20808.845825', 'Active', 'No', 'No',
'Vanuatu', 'VUT', 'VUV', '', 'Vanuatu Vatu', '91.25', 'Active', 'No', 'No',
'Samoa', 'WSM', 'WST', '', 'Samoan Tala', '2.309777', 'Active', 'No', 'No',
'Cameroon', 'CMR', 'XAF', '', 'CFA Franc BEAC', '522.932787', 'Active', 'No', 'No',
'Central African Republic', 'CAF', 'XAF', '', 'CFA Franc BEAC', '522.932787', 'Active', 'No', 'No',
'Chad', 'TCD', 'XAF', '', 'CFA Franc BEAC', '522.932787', 'Active', 'No', 'No',
'Congo', 'COG', 'XAF', '', 'CFA Franc BEAC', '522.932787', 'Active', 'No', 'No',
'Equatorial Guinea', 'GNQ', 'XAF', '', 'CFA Franc BEAC', '522.932787', 'Active', 'No', 'No',
'Gabon', 'GAB', 'XAF', '', 'CFA Franc BEAC', '522.932787', 'Active', 'No', 'No',
'Anguilla', 'AIA', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Antarctica', 'ATA', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Antigua and Barbuda', 'ATG', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Dominica', 'DMA', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Grenada', 'GRD', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Montserrat', 'MSR', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Saint Kitts & Nevis Anguilla', 'KNA', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Saint Lucia', 'LCA', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'Saint Vincent & Grenadines', 'VCT', 'XCD', '', 'East Caribbean Dollar', '2.70175', 'Active', 'No', 'No',
'International Monetary Fund IMF)', '', 'XDR', '', 'Special Drawing Rights', '0.660259', 'Active', 'No', 'No',
'Benin', 'BEN', 'XOF', '', 'CFA Franc BCEAO', '524.663337', 'Active', 'No', 'No',
'Burkina Faso', 'BFA', 'XOF', '', 'CFA Franc BCEAO', '524.663337', 'Active', 'No', 'No',
'Ivory Coast', 'CIV', 'XOF', '', 'CFA Franc BCEAO', '524.663337', 'Active', 'No', 'No',
'Mali', 'MLI', 'XOF', '', 'CFA Franc BCEAO', '524.663337', 'Active', 'No', 'No',
'Niger', 'NER', 'XOF', '', 'CFA Franc BCEAO', '524.663337', 'Active', 'No', 'No',
'Senegal', 'SEN', 'XOF', '', 'CFA Franc BCEAO', '524.663337', 'Active', 'No', 'No',
'Togo', 'TGO', 'XOF', '', 'CFA Franc BCEAO', '524.663337', 'Active', 'No', 'No',
'New Caledonia French)', 'NCL', 'XPF', '', 'CFP Franc', '95.342501', 'Active', 'No', 'No',
'Polynesia French)', 'PYF', 'XPF', '', 'CFP Franc', '95.342501', 'Active', 'No', 'No',
'Wallis and Futuna Islands', 'WLF', 'XPF', '', 'CFP Franc', '95.342501', 'Active', 'No', 'No',
'Yemen', 'YEM', 'YER', '', 'Yemeni Rial', '215.040559', 'Active', 'No', 'No',
'South Africa', 'ZAF', 'ZAR', 'R', 'South African Rand', '8.273592', 'Active', 'No', 'Yes',
'Zambia', 'ZMB', 'ZMK', '', 'Zambian Kwacha', '4856.902232', 'Active', 'No', 'No',
'Zimbabwe', 'ZWE', 'ZWL', '', 'Zimbabwean Dollar', '322.355011', 'Active', 'No', 'No'
